City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Marzuq,14.4,46.4667,81.37,26,71,4.07,YE,2021-06-13 17:47:43
Kidal,18.4411,1.4078,106.11,9,3,3.96,ML,2021-06-13 17:47:43
Sorong,-0.8833,131.25,78.96,84,90,5.3,ID,2021-06-13 17:47:12
Qaanaaq,77.484,-69.3632,37.22,81,35,1.88,GL,2021-06-13 17:47:43
Rikitea,-23.1203,-134.9692,74.95,76,13,10.07,PF,2021-06-13 17:47:44
Celestún,20.8667,-90.4,81.23,75,92,7.85,MX,2021-06-13 17:47:44
Vaini,-21.2,-175.2,71.76,83,40,8.05,TO,2021-06-13 17:47:44
Sumkino,58.1108,68.3244,62.37,63,71,5.73,RU,2021-06-13 17:47:44
Albany,42.6001,-73.9662,83.14,51,21,6.04,US,2021-06-13 17:47:45
Saint George,37.1041,-113.5841,102.67,9,6,1.01,US,2021-06-13 17:47:45
Utica,43.1009,-75.2327,84.31,55,3,5.03,US,2021-06-13 17:47:13
Ushuaia,-54.8,-68.3,38.86,81,75,28.77,AR,2021-06-13 17:43:47
Yellowknife,62.456,-114.3525,57.72,77,75,11.5,CA,2021-06-13 17:47:46
Le Port,-20.9373,55.2919,73.36,91,57,11.68,RE,2021-06-13 17:45:39
Chany,55.3121,76.7647,58.14,89,33,8.77,RU,2021-06-13 17:47:46
Yulara,-25.2406,130.9889,53.44,76,75,8.05,AU,2021-06-13 17:47:46
Jamestown,42.097,-79.2353,83.3,57,75,3.44,US,2021-06-13 17:47:47
Busselton,-33.65,115.3333,58.08,78,99,24.0,AU,2021-06-13 17:44:45
Dzhebariki-Khaya,62.2167,135.8,47.32,97,100,5.41,RU,2021-06-13 17:47:47
Kimbe,-5.5502,150.1429,73.18,89,28,5.5,PG,2021-06-13 17:47:25
Mataura,-46.1927,168.8643,50.85,97,100,4.56,NZ,2021-06-13 17:47:48
Ribeira Brava,32.65,-17.0667,73.13,78,58,4.09,PT,2021-06-13 17:47:48
Cape Town,-33.9258,18.4232,58.12,79,0,4.61,ZA,2021-06-13 17:45:13
Winburg,-28.518,27.0093,52.86,43,7,5.12,ZA,2021-06-13 17:47:48
Chui,-33.6971,-53.4616,67.26,60,0,6.82,UY,2021-06-13 17:47:48
Paysandu,-32.3214,-58.0756,71.6,53,0,12.66,UY,2021-06-13 17:47:49
Hay River,60.8156,-115.7999,71.58,46,40,2.3,CA,2021-06-13 17:47:49
Sambava,-14.2667,50.1667,72.91,88,16,3.02,MG,2021-06-13 17:45:42
Port Alfred,-33.5906,26.891,64.76,73,41,6.08,ZA,2021-06-13 17:47:49
Houma,29.5958,-90.7195,93.99,60,88,8.01,US,2021-06-13 17:47:50
Avarua,-21.2078,-159.775,71.65,73,40,6.91,CK,2021-06-13 17:47:50
Lubao,14.9167,120.55,81.14,87,100,2.91,PH,2021-06-13 17:47:50
Cabo San Lucas,22.8909,-109.9124,91.51,63,100,8.32,MX,2021-06-13 17:46:47
Saskylakh,71.9167,114.0833,39.45,63,60,11.61,RU,2021-06-13 17:47:51
Palmares do Sul,-30.2578,-50.5097,67.55,55,0,3.47,BR,2021-06-13 17:47:51
Pangnirtung,66.1451,-65.7125,39.2,81,75,13.8,CA,2021-06-13 17:47:51
Hermanus,-34.4187,19.2345,57.9,88,89,4.59,ZA,2021-06-13 17:47:51
Hobart,-42.8794,147.3294,52.92,97,90,0.0,AU,2021-06-13 17:45:36
Ancud,-41.8697,-73.8203,51.33,61,64,11.77,CL,2021-06-13 17:46:44
Puerto Cabello,10.4731,-68.0125,90.95,88,100,12.08,VE,2021-06-13 17:47:52
Auki,-8.7676,160.7034,77.54,88,100,4.68,SB,2021-06-13 17:47:44
Panguna,-6.3164,155.4848,66.97,90,76,1.68,PG,2021-06-13 17:47:53
Airai,-8.9266,125.4092,57.07,89,72,1.86,TL,2021-06-13 17:47:53
Port Hardy,50.6996,-127.4199,57.38,88,75,26.46,CA,2021-06-13 17:47:53
Gander,48.9682,-54.5906,53.98,66,90,17.0,CA,2021-06-13 17:47:53
Butaritari,3.0707,172.7902,81.84,76,100,8.43,KI,2021-06-13 17:47:53
Kondopoga,62.2057,34.2614,64.08,73,79,7.65,RU,2021-06-13 17:47:11
Malanje,-9.5402,16.341,66.4,35,87,3.8,AO,2021-06-13 17:46:33
Torbay,47.6666,-52.7314,50.77,69,40,9.22,CA,2021-06-13 17:47:55
East London,-33.0153,27.9116,65.34,94,0,2.3,ZA,2021-06-13 17:45:41
Barrow,71.2906,-156.7887,35.62,93,90,12.66,US,2021-06-13 17:47:55
Aklavik,68.2191,-135.0107,47.12,93,90,9.22,CA,2021-06-13 17:47:56
Haines Junction,60.7522,-137.5108,55.35,50,21,2.3,CA,2021-06-13 17:47:56
Saint-Philippe,-21.3585,55.7679,72.95,79,61,16.26,RE,2021-06-13 17:47:56
Yala,6.3333,101.25,74.88,96,96,2.44,TH,2021-06-13 17:47:56
Klungkung,-8.5333,115.4,79.48,94,95,3.85,ID,2021-06-13 17:47:56
Zliten,32.4674,14.5687,73.44,67,5,7.31,LY,2021-06-13 17:47:57
Klaksvík,62.2266,-6.589,50.92,82,100,19.04,FO,2021-06-13 17:47:57
Dikson,73.5069,80.5464,33.91,99,100,11.23,RU,2021-06-13 17:47:57
Bredasdorp,-34.5322,20.0403,54.72,88,96,3.44,ZA,2021-06-13 17:47:58
Kloulklubed,7.0419,134.2556,81.1,75,81,11.9,PW,2021-06-13 17:47:58
Yumen,40.2833,97.2,69.57,38,51,6.85,CN,2021-06-13 17:47:58
Kaitangata,-46.2817,169.8464,51.46,98,100,9.75,NZ,2021-06-13 17:47:58
Srīvardhan,18.0333,73.0167,80.28,86,50,7.76,IN,2021-06-13 17:47:59
Hilo,19.7297,-155.09,76.62,76,40,6.91,US,2021-06-13 17:43:06
Mahébourg,-20.4081,57.7,75.49,73,75,14.97,MU,2021-06-13 17:47:24
Cherskiy,68.75,161.3,54.23,51,100,4.88,RU,2021-06-13 17:47:59
Castro,-24.7911,-50.0119,64.6,52,0,4.34,BR,2021-06-13 17:48:00
Atuona,-9.8,-139.0333,79.63,77,63,19.17,PF,2021-06-13 17:48:00
Tuatapere,-46.1333,167.6833,51.53,97,100,3.89,NZ,2021-06-13 17:48:00
Savelugu,9.6244,-0.8253,90.1,50,89,3.65,GH,2021-06-13 17:48:00
Parabel',58.6978,81.4825,49.35,71,7,6.49,RU,2021-06-13 17:48:01
Lamu,-2.2717,40.902,79.02,80,69,16.51,KE,2021-06-13 17:48:01
Iquitos,-3.7481,-73.2472,80.64,74,75,8.05,PE,2021-06-13 17:48:02
Faya,18.3851,42.4509,77.52,14,11,10.2,SA,2021-06-13 17:48:02
Bargarh,21.3333,83.6167,80.44,85,100,5.12,IN,2021-06-13 17:48:02
Hong Kong,22.2855,114.1577,85.32,89,100,1.01,HK,2021-06-13 17:47:43
Bambous Virieux,-20.3428,57.7575,75.45,73,75,14.97,MU,2021-06-13 17:48:03
Souillac,-20.5167,57.5167,75.58,73,75,14.97,MU,2021-06-13 17:48:03
Puerto Ayora,-0.7393,-90.3518,78.76,85,87,4.0,EC,2021-06-13 17:48:03
Tilichiki,60.4667,166.1,44.8,77,5,5.5,RU,2021-06-13 17:48:04
Praia,14.9215,-23.5087,84.74,65,0,12.66,CV,2021-06-13 17:43:55
Solnechnyy,50.7214,136.6319,43.34,88,13,4.12,RU,2021-06-13 17:48:04
Yelbarga,15.6333,76.0167,73.17,82,76,22.08,IN,2021-06-13 17:48:05
Lagoa,39.05,-27.9833,68.5,73,3,4.16,PT,2021-06-13 17:48:05
Harper,4.375,-7.7169,80.91,78,100,8.46,LR,2021-06-13 17:48:05
Maceió,-9.6658,-35.7353,83.64,61,40,8.05,BR,2021-06-13 17:47:16
Severo-Kuril'sk,50.6789,156.125,42.91,97,100,15.57,RU,2021-06-13 17:48:06
Thompson,55.7435,-97.8558,50.16,81,75,11.5,CA,2021-06-13 17:48:06
Bluff,-46.6,168.3333,52.29,96,100,16.51,NZ,2021-06-13 17:48:06
Susanville,40.4163,-120.653,77.83,33,1,5.99,US,2021-06-13 17:48:06
Khatanga,71.9667,102.5,39.7,64,75,5.1,RU,2021-06-13 17:48:07
Boyolangu,-8.1181,111.8935,75.42,92,63,2.42,ID,2021-06-13 17:46:39
Kadapa,14.4667,78.8167,82.47,59,100,21.14,IN,2021-06-13 17:44:15
Makokou,0.5738,12.8642,73.2,90,87,4.79,GA,2021-06-13 17:47:46
Natal,-5.795,-35.2094,88.02,48,20,12.66,BR,2021-06-13 17:48:08
Arraial do Cabo,-22.9661,-42.0278,73.26,56,40,10.36,BR,2021-06-13 17:48:08
Hūn,29.1268,15.9477,84.81,22,0,12.3,LY,2021-06-13 17:47:11
Tucumcari,35.1717,-103.725,88.95,39,1,3.44,US,2021-06-13 17:48:08
Vila Velha,-20.3297,-40.2925,76.96,65,40,16.11,BR,2021-06-13 17:48:09
Carnarvon,-24.8667,113.6333,60.87,74,0,9.22,AU,2021-06-13 17:48:09
